FlyBase,GenetID,symbol,Affymetrix IDs (note: // was used to separate Affy probes which owned by one gene),chrom,star_chrom,end_chrom,bam_testis_RPKM,wt_testis_RPKM,bam_ovary_RPKM,wt_ovary_RPKM,male_carcass_RPKM,female_carcass_RPKM
FBgn0053391,CR33391,5SrRNA:CR33391,#N/A,chr2R,15639601,15639734,0,0,0,0,0,0
FBgn0053392,CR33392,5SrRNA:CR33392,#N/A,chr2R,15639232,15639366,0,0,0,0,0,0
FBgn0053393,CR33393,5SrRNA:CR33393,#N/A,chr2R,15638863,15638997,0,0,0,0,0,0
FBgn0053394,CR33394,5SrRNA:CR33394,#N/A,chr2R,15638494,15638628,0,0,0,0,0,0
FBgn0053395,CR33395,5SrRNA:CR33395,#N/A,chr2R,15638125,15638259,0,0,0,0,0,0
FBgn0053396,CR33396,5SrRNA:CR33396,#N/A,chr2R,15637756,15637890,0,0,0,0,0,0
FBgn0053397,CR33397,5SrRNA:CR33397,#N/A,chr2R,15637383,15637517,0,0,0,0,0,0
FBgn0053398,CR33398,5SrRNA:CR33398,#N/A,chr2R,15637017,15637151,0,0,0,0,0,0
FBgn0053399,CR33399,5SrRNA:CR33399,#N/A,chr2R,15636648,15636782,0,0,0,0,0,0
FBgn0053400,CR33400,5SrRNA:CR33400,#N/A,chr2R,15636279,15636413,0,0,0,0,0,0
FBgn0053401,CR33401,5SrRNA:CR33401,#N/A,chr2R,15635910,15636044,0,0,0,0,0,0
FBgn0053402,CR33402,5SrRNA:CR33402,#N/A,chr2R,15635548,15635682,0,0,0,0,0,0
FBgn0053403,CR33403,5SrRNA:CR33403,#N/A,chr2R,15635182,15635316,0,0,0,0,0,0
FBgn0053404,CR33404,5SrRNA:CR33404,#N/A,chr2R,15634823,15634957,0,0,0,0,0,0
FBgn0053405,CR33405,5SrRNA:CR33405,#N/A,chr2R,15634448,15634581,0,0,0,0,0,0
FBgn0053406,CR33406,5SrRNA:CR33406,#N/A,chr2R,15634079,15634213,0,0,0,0,0,0
FBgn0053407,CR33407,5SrRNA:CR33407,#N/A,chr2R,15633706,15633840,0,0,0,0,0,0
FBgn0053408,CR33408,5SrRNA:CR33408,#N/A,chr2R,15633333,15633467,0,0,0,0,0,0
FBgn0053409,CR33409,5SrRNA:CR33409,#N/A,chr2R,15632967,15633101,0,0,0,0,0,0
FBgn0053410,CR33410,5SrRNA:CR33410,#N/A,chr2R,15632601,15632735,0,0,0,0,0,0
FBgn0053411,CR33411,5SrRNA:CR33411,#N/A,chr2R,15632225,15632359,0,0,0,0,0,0
FBgn0053412,CR33412,5SrRNA:CR33412,#N/A,chr2R,15631866,15632000,0,0,0,0,0,0
FBgn0053413,CR33413,5SrRNA:CR33413,#N/A,chr2R,15631500,15631634,0,0,0,0,0,0
FBgn0053414,CR33414,5SrRNA:CR33414,#N/A,chr2R,15631134,15631268,0,0,0,0,0,0
FBgn0053415,CR33415,5SrRNA:CR33415,#N/A,chr2R,15630758,15630892,0,0,0,0,0,0
FBgn0053417,CR33417,5SrRNA:CR33417,#N/A,chr2R,15630008,15630142,0,0,0,0,0,0
FBgn0053418,CR33418,5SrRNA:CR33418,#N/A,chr2R,15629642,15629776,0,0,0,0,0,0
FBgn0053419,CR33419,5SrRNA:CR33419,#N/A,chr2R,15629273,15629407,0,0,0,0,0,0
FBgn0053420,CR33420,5SrRNA:CR33420,#N/A,chr2R,15628911,15629045,0,0,0,0,0,0
FBgn0053421,CR33421,5SrRNA:CR33421,#N/A,chr2R,15628545,15628679,0,0,0,0,0,0
FBgn0053422,CR33422,5SrRNA:CR33422,#N/A,chr2R,15628169,15628303,0,0,0,0,0,0
FBgn0053423,CR33423,5SrRNA:CR33423,#N/A,chr2R,15627810,15627944,0,0,0,0,0,0
FBgn0053424,CR33424,5SrRNA:CR33424,#N/A,chr2R,15627441,15627575,0,0,0,0,0,0
FBgn0053425,CR33425,5SrRNA:CR33425,#N/A,chr2R,15627075,15627209,0,0,0,0,0,0
FBgn0053426,CR33426,5SrRNA:CR33426,#N/A,chr2R,15626699,15626833,0,0,0,0,0,0
FBgn0053427,CR33427,5SrRNA:CR33427,#N/A,chr2R,15626323,15626457,0,0,0,0,0,0
FBgn0053428,CR33428,5SrRNA:CR33428,#N/A,chr2R,15625957,15626091,4.5444,0,0.758716,0,0,0
FBgn0053429,CR33429,5SrRNA:CR33429,#N/A,chr2R,15625591,15625725,0,0,0,0,0,0
FBgn0053430,CR33430,5SrRNA:CR33430,#N/A,chr2R,15625229,15625363,0,0,0,0,0,0
FBgn0053431,CR33431,5SrRNA:CR33431,#N/A,chr2R,15624860,15624994,0,0,0,0,0,0
FBgn0053432,CR33432,5SrRNA:CR33432,#N/A,chr2R,15624491,15624625,0,0,0,0,0,0
FBgn0053433,CR33433,5SrRNA:CR33433,#N/A,chr2R,15624122,15624256,0,0,0,0,0,0
FBgn0053434,CR33434,5SrRNA:CR33434,#N/A,chr2R,15623753,15623887,0,0,0,0,0,0
FBgn0053435,CR33435,5SrRNA:CR33435,#N/A,chr2R,15623384,15623518,0,0,0,0,0,0
FBgn0053436,CR33436,5SrRNA:CR33436,#N/A,chr2R,15623015,15623149,0,0,0,0,0,0
FBgn0053437,CR33437,5SrRNA:CR33437,#N/A,chr2R,15622646,15622780,0,0,0,0,0,0
FBgn0053438,CR33438,5SrRNA:CR33438,#N/A,chr2R,15622277,15622411,0,0,0,0,0,0
FBgn0053439,CR33439,5SrRNA:CR33439,#N/A,chr2R,15621901,15622035,0,0,0,0,0,0
FBgn0053440,CR33440,5SrRNA:CR33440,#N/A,chr2R,15621542,15621676,0,0,0,0,0,0
FBgn0053441,CR33441,5SrRNA:CR33441,#N/A,chr2R,15621176,15621310,0,0,0,0,0,0
FBgn0053442,CR33442,5SrRNA:CR33442,#N/A,chr2R,15620793,15620927,0,0,0,0,0,0
FBgn0053443,CR33443,5SrRNA:CR33443,#N/A,chr2R,15620431,15620565,0,0,0,0,0,0
FBgn0053444,CR33444,5SrRNA:CR33444,#N/A,chr2R,15620055,15620189,0,0,0,0,0,0
FBgn0053445,CR33445,5SrRNA:CR33445,#N/A,chr2R,15619675,15619809,0,0,0,0,0,0
FBgn0053446,CR33446,5SrRNA:CR33446,#N/A,chr2R,15619273,15619407,0,0,0,0,0,0
FBgn0053447,CR33447,5SrRNA:CR33447,#N/A,chr2R,15618914,15619048,0,0,0,0,0,0
FBgn0053448,CR33448,5SrRNA:CR33448,#N/A,chr2R,15618548,15618682,0,0,0,0,0,0
FBgn0053449,CR33449,5SrRNA:CR33449,#N/A,chr2R,15618175,15618309,0,0,0,0,0,0
FBgn0053450,CR33450,5SrRNA:CR33450,#N/A,chr2R,15617809,15617943,0,0,0,0,0,0
FBgn0053451,CR33451,5SrRNA:CR33451,#N/A,chr2R,15617426,15617560,0,0,0,0,0,0
FBgn0053452,CR33452,5SrRNA:CR33452,#N/A,chr2R,15617067,15617201,1.5148,0,0,0,0,0
FBgn0053356,CR33356,5SrRNA-Psi:CR33356,#N/A,chr2R,15652526,15652668,0,0,0,0,0,0
FBgn0053363,CR33363,5SrRNA-Psi:CR33363,#N/A,chr2R,15649932,15650075,2.84025,0,0,0,0.714801,0
FBgn0053371,CR33371,5SrRNA-Psi:CR33371,#N/A,chr2R,15646979,15647115,0,0,0,0,0,0
FBgn0053416,CR33416,5SrRNA-Psi:CR33416,#N/A,chr2R,15630381,15630523,0,0,0,0,0,0
FBgn0041707,CG1168,7B2,1636249_at,chr3R,1202476,1203701,1.04159,0.172752,3.56493,0.260543,70.6015,69.4152
FBgn0000003,CR32864,7SLRNA,#N/A,chr3R,2648220,2648518,0,0,0,0,0,0.344436
FBgn0052208,CG32208,825-Oak,#N/A,chr3L,19464829,19465352,0,0,0,0,0,0
FBgn0000008,CG6741,a,1633746_s_at,chr2R,18024494,18060346,7.34679,20.7271,4.55229,21.8443,9.51162,8.21983
FBgn0011293,CG6642,a10,1633913_at,chr3L,17016222,17016841,0,0.895697,0.180329,0,67.2316,60.7401
FBgn0028965,CG9933,A16,1638919_at,chr2L,13019570,13021307,65.646,83.2035,46.0395,47.1838,21.4754,23.2963
FBgn0011294,CG5430,a5,1628647_at,chr2L,1329161,1329904,0,0,0,0,12.136,12.2924
FBgn0023130,CG3771,a6,1630918_at,chrX,1587645,1589922,16.4486,5.74735,17.0788,33.8864,7.81404,6.09634
FBgn0027885,CG6582,Aac11,1623100_at,chr2L,17475491,17477886,78.4436,41.5786,80.6534,99.7446,44.0351,42.3577
FBgn0027094,CG13391,Aats-ala,1639644_at,chr2L,8378256,8381756,131.979,31.3987,109.849,163.168,42.0652,55.2094
FBgn0028962,CG4633,Aats-ala-m,1636795_at,chr3L,5139205,5142954,37.1239,7.72275,25.8605,33.3415,12.691,13.1764
FBgn0027093,CG9020,Aats-arg,1627148_at,chrX,15735796,15738169,47.2399,11.0724,52.3663,85.0794,22.3533,27.1957
FBgn0086443,CG10687,Aats-asn,1624475_at,chr2L,19129864,19131952,143.5,34.8773,121.534,207.82,52.6626,64.5616
FBgn0002069,CG3821,Aats-asp,1629026_at,chr2R,8767824,8770675,126.193,29.7974,150.503,155.645,86.8798,119.258
FBgn0027091,CG8431,Aats-cys,1625878_at,chr2R,12030655,12033415,60.9161,15.6732,51.1716,73.4155,17.2811,22.4941
FBgn0027090,CG10506,Aats-gln,1640088_at,chr3R,21088988,21091443,77.7276,13.2575,92.9596,129.882,30.1334,41.3454
FBgn0005674,CG5394,Aats-glupro,1626523_a_at,chr3R,19777852,19784117,77.1688,17.5266,89.6584,113.262,26.3028,29.3708
FBgn0027088,CG6778,Aats-gly,1636948_a_at,chr3L,15088256,15090790,106.121,29.5018,83.0322,126.803,30.6561,34.6944
FBgn0027087,CG6335,Aats-his,1631877_a_at,chrX,18409432,18414480,136.876,12.17,131.252,130.954,46.2998,60.7677
FBgn0027086,CG11471,Aats-ile,1631106_s_at,chr3L,22281762,22285918,73.3526,17.7999,101.588,113.741,24.3244,32.5026
FBgn0027085,CG7479,Aats-leu,1623460_at,chr3L,4825858,4829039,30.2069,4.41956,22.6181,28.867,12.764,13.1465
FBgn0027084,CG12141,Aats-lys,1622945_a_at,chrX,9500393,9502917,130.357,24.1887,140.784,227.431,44.0257,51.1859
FBgn0027083,CG31322,Aats-met,1632235_at,chr3R,10077212,10085708,19.9885,41.3125,11.6069,31.0436,5.03048,5.36502
FBgn0020766,CG13348,Aats-phe,1636872_at,chr2R,9855852,9857407,38.7818,47.4884,30.17,52.77,65.9675,70.9892
FBgn0027082,CG12186,Aats-pro,1629758_at,chr3L,2650191,2651834,7.40834,4.17298,10.9218,16.6431,6.68386,10.5591
FBgn0021750,CG4938,Aats-ser,1636797_at,chr3R,11166407,11167939,29.214,11.0181,24.1868,38.3732,10.743,12.2267
FBgn0027081,CG5353,Aats-thr,1640984_s_at,chr2L,12103734,12106913,171.737,45.0908,176.239,175.338,60.1079,71.0745
FBgn0010803,CG9735,Aats-trp,1635547_a_at//1638511_at//1629619_at,chr3R,5089539,5092670,47.5561,47.4631,29.7131,49.5683,14.9999,19.4962
FBgn0027080,CG4561,Aats-tyr,1632234_at,chr3L,16410447,16412395,96.6329,24.4871,77.1389,163.308,63.9387,75.9276
FBgn0027079,CG4062,Aats-val,1638259_s_at,chr2R,9086356,9090217,85.5223,13.3043,80.1756,115.533,21.7269,30.1622
FBgn0023129,CG3705,aay,1633488_at,chr3L,9416353,9417904,40.3858,37.5011,84.1456,47.7913,155.657,147.578
FBgn0000011,CG4807,ab,1629702_a_at,chr2L,11210681,11261081,1.33282,48.2625,4.36409,1.41318,2.78355,2.0437
FBgn0000014,CG10325,abd-A,1637813_at//1636558_a_at,chr3R,12633344,12655769,33.9119,14.7578,46.4809,9.6182,9.20138,9.02009
FBgn0000015,CG11648,Abd-B,1641589_s_at//1627871_at//1632781_s_at,chr3R,12752932,12797958,7.2193,1.39728,2.97235,0.530154,2.38693,1.96126
FBgn0020510,CG9749,Abi,1632196_at,chr3R,9944982,9948142,68.2202,36.6514,40.2303,57.2883,20.153,20.8181
FBgn0000017,CG4032,Abl,1640419_at,chr3L,16615461,16641674,40.7424,20.3021,22.073,38.7073,12.0729,10.8455
FBgn0000018,CG6093,abo,1628418_at,chr2L,10973442,10975273,23.0421,16.1082,24.0053,20.6342,5.509,5.51194
FBgn0015331,CG14637,abs,1623353_at,chr3R,58765,60764,32.6175,52.1475,33.7496,24.9116,12.5062,11.7404
FBgn0000022,CG3796,ac,1638596_at,chrX,264064,265024,0.106399,0,0.532917,0.212917,0,0
FBgn0022710,CG9210,Ac13E,1636219_at,chrX,15404909,15416196,17.9517,2.29866,24.9817,11.3277,13.8227,12.6237
FBgn0023416,CG1506,Ac3,1625072_s_at,chr2L,21632599,21647967,0.336086,0.904979,1.20805,0.217589,9.31398,5.87412
FBgn0004852,CG7978,Ac76E,1628231_at,chr3L,19932386,19971065,15.0938,2.29903,13.6157,2.65831,25.8734,19.6432
FBgn0024150,CG10564,Ac78C,1628412_at,chr3L,21129553,21164991,1.33396,1.40743,1.54558,0.627153,7.32913,7.85104
FBgn0012034,CG9390,AcCoAS,1641148_a_at,chr3L,21264306,21273343,28.3125,3.8027,15.8048,62.276,134.114,112.638
FBgn0000024,CG17907,Ace,1624577_at,chr3R,9053962,9084590,3.83205,1.1189,18.7568,1.37755,19.7732,16.8485
FBgn0016122,CG10593,Acer,1640031_at,chr2L,8521899,8524991,27.9198,178.218,51.9764,28.1415,67.9024,61.8415
FBgn0027620,CG1966,Acf1,1637574_at,chr3R,27619811,27625533,55.5465,11.1696,44.9748,26.0745,5.53594,3.86483
FBgn0033749,CG8819,achi,1638702_a_at,chr2R,8399035,8402556,6.98825,14.5998,2.78378,5.19301,2.5918,2.55202
FBgn0000028,CG9151,acj6,1631102_a_at,chrX,15246390,15272487,0.393266,18.6381,0.246218,0.147557,0.940239,0.891227
FBgn0028484,CG14992,Ack,1640661_at,chr3L,4108205,4114161,52.3857,112.396,35.5849,30.776,23.7462,19.9245
FBgn0010100,CG9244,Acon,1634989_at,chr2L,21168356,21172897,157.526,38.4139,145.37,243.466,562.108,651.508
FBgn0034629,CG9709,Acox57D-d,1633476_at,chr2R,17276895,17279945,6.44692,0.224319,2.07744,38.8385,8.48685,13.4863
FBgn0034628,CG9707,Acox57D-p,1639943_at,chr2R,17273859,17276788,17.2855,3.56169,14.7488,16.1558,42.9904,41.4976
FBgn0014454,CG7216,Acp1,#N/A,chr2L,7740552,7741542,1.05411,0.116553,0.351981,0.117189,169.076,128.585
FBgn0051779,CG31779,Acp24A4,1632872_at,chr2L,3693479,3693889,0,0,0.299493,0,139.65,0.301129
FBgn0002855,CG8982,Acp26Aa,1638714_at,chr2L,5892883,5893896,80.4758,36.0059,0,0,151.389,0
FBgn0002856,CG9024,Acp26Ab,1624292_a_at,chr2L,5892298,5892862,32.6629,7.46983,0,0,58.4095,0
FBgn0015583,CG17797,Acp29AB,1624840_at,chr2L,8392466,8393239,17.5699,3.28654,0.132334,0,36.7042,0
FBgn0023415,CG4605,Acp32CD,1631200_at,chr2L,11015642,11016573,99.4154,28.6689,0.236551,0.590684,160.459,0
FBgn0011559,CG7157,Acp36DE,1628459_at,chr2L,18356113,18359026,174.307,110.518,1.3633,0.179171,243.827,0.0721445
FBgn0034152,CG8626,Acp53C14a,1631158_at,chr2R,12635552,12636066,210.019,30.5473,0,0,201.639,0.222432
FBgn0034153,CG15616,Acp53C14b,1623272_at,chr2R,12636409,12636952,199.051,52.3351,0,0,238.345,0
FBgn0053530,CG33530,Acp53C14c,1634651_at,chr2R,12638308,12638739,52.6242,10.3108,0,0,62.0333,0
FBgn0015584,CG8622,Acp53Ea,1627990_at,chr2R,12637307,12637827,169.967,34.1402,0,0,172.229,0
FBgn0083936,CG34098,Acp54A1,#N/A,chr2R,13021028,13021168,42.0599,2.88656,0,0,62.0508,0.730399
FBgn0020509,CG1262,Acp62F,1627178_at,chr3L,2739750,2746903,142.874,22.2642,0.393192,0,191.836,0
FBgn0015585,CG10852,Acp63F,1634882_at,chr3L,3815923,3816354,93.5402,7.70356,0,0.322733,42.5363,0.324878
FBgn0020765,CG10297,Acp65Aa,1639418_at,chr3L,6145143,6145845,1.47949,0,4.2815,0.493439,284.302,365.75
FBgn0003034,CG17673,Acp70A,1633023_at,chr3L,13294735,13295022,171.027,18.7076,0,0,144.473,0
FBgn0015586,CG3801,Acp76A,1631665_at,chr3L,19043891,19045126,65.3623,32.3476,0,0,143.063,0
FBgn0002863,CG17924,Acp95EF,1634265_at,chr3R,20054378,20055378,129.997,44.7844,35.2712,27.6472,147.883,33.7024
FBgn0013745,CG31056,Acp98AB,1638392_at,chr3R,23520623,23520778,492.893,45.0053,0,0,98.9725,0
FBgn0000032,CG7899,Acph-1,1640265_a_at,chr3R,25816861,25819130,20.3388,31.4896,16.2285,58.5762,13.3618,12.2506
FBgn0000043,CG12051,Act42A,1624471_s_at,chr2R,1901415,1903190,414.292,317.361,382.489,237.285,115.623,100.51
FBgn0000044,CG10067,Act57B,1634250_at,chr2R,16831533,16833945,236.194,138.985,1464.41,282.244,487.996,547.197
FBgn0000042,CG4027,Act5C,1626163_s_at,chrX,5794897,5798823,647.693,255.753,553.917,527.431,497.574,576.036
FBgn0000045,CG7478,Act79B,1624830_at,chr3L,21978331,21980290,6.91962,5.08087,10.4984,1.94933,1770.87,1844.62
FBgn0000046,CG18290,Act87E,1636348_s_at,chr3R,9251707,9253810,135.39,296.036,367.832,138.715,535.849,582.175
FBgn0000047,CG5178,Act88F,1626700_at,chr3R,11265710,11267895,8.78093,2.07127,30.1676,3.18894,3106.8,3733.51
FBgn0024913,CG11062,activin-beta,1627736_at,chr4,1097946,1105418,0.0556004,0.497966,0.946847,0.0278158,6.63261,4.4241
FBgn0000667,CG4376,Actn,1635252_a_at,chrX,1919127,1936344,91.9271,17.4233,222.364,99.6967,373.151,425.248
FBgn0015008,CG8953,Actn3,1636013_at,chr3R,12801620,12803382,0,90.1939,0,0,0,0
FBgn0011741,CG11678,Actr13E,1639228_at,chrX,15629806,15631109,35.9911,11.0022,55.612,59.548,31.2583,25.6676
FBgn0040510,CG17176,ACXA,1632969_at,chr2L,12921091,12925453,0,80.5649,0.0288201,0,0,0
FBgn0040509,CG17174,ACXB,1640621_at,chr2L,12916814,12921014,0,21.9323,0,0,0.028889,0.0289044
FBgn0040508,CG5983,ACXC,1631871_at,chr2L,12912530,12916774,0,111.058,0,0,0.144404,0.115585
FBgn0040507,CG5712,ACXD,1624636_at,chr3L,2237610,2243720,11.4909,2.30184,6.77695,1.0701,4.90746,4.10843
FBgn0040506,CG17178,ACXE,1624622_at,chr2L,12925619,12929755,0,9.13151,0,0,0,0
FBgn0025115,CG16870,Acyp,1639745_at,chr2L,13912201,13912563,0,153.047,0,0,0,0
FBgn0038363,CG18505,Acyp2,1629363_at,chr3R,11618461,11619116,21.5261,41.5573,22.426,17.4459,23.8367,27.1016
FBgn0037661,CG11994,Ada,1637806_at,chr3R,4890901,4891974,10.8533,10.4214,12.2073,7.04904,5.46284,3.45205
FBgn0037555,CG9638,Ada2b,1623806_at,chr3R,4062838,4066234,30.9745,19.6021,28.1208,75.5039,11.5433,12.0766
FBgn0027619,CG12131,Adam,1633287_at,chr2R,5856465,5858410,78.976,55.8113,99.2927,108.72,91.102,114.668
FBgn0026086,CG12598,Adar,1634276_a_at,chrX,1667783,1678034,15.5791,3.62336,20.8979,12.751,24.0053,21.1624
FBgn0028658,CG16889,adat,1633990_at,chr2L,13808360,13811472,22.9302,7.05239,19.1815,6.68179,96.2088,114.929
FBgn0000052,CG9127,ade2,1629194_s_at,chr2L,6041178,6045970,54.1775,12.2924,54.6009,126.25,55.5319,40.7072
FBgn0000053,CG31628,ade3,1637037_at,chr2L,7014861,7023940,46.7546,9.45181,36.7405,123.923,56.1566,51.044
FBgn0020513,CG3989,ade5,1640599_at,chrX,12651775,12654651,52.2052,12.2984,117.416,141.51,180.925,205.693
FBgn0000054,CG15845,Adf1,1636020_s_at,chr2R,2549774,2555592,29.8558,23.3722,34.522,53.3723,25.3035,27.5508
FBgn0036752,CG5992,Adgf-A,1624054_at,chr3L,17744818,17757253,61.6409,18.7354,22.3713,18.2859,11.7364,14.48
FBgn0036751,CG5998,Adgf-B,1638046_at,chr3L,17741933,17743688,0,140.013,0.0604643,0,0,0
FBgn0038173,CG9345,Adgf-C,1634216_at,chr3R,9532479,9534854,3.81965,0.818687,13.4214,4.29216,12.3044,8.81894
FBgn0038172,CG9621,Adgf-D,1639079_at,chr3R,9528806,9531180,1.40906,1.52413,3.49809,0.551682,39.2854,28.0759
FBgn0033952,CG10143,Adgf-E,1638647_at,chr2R,10544303,10546260,0,154.928,0,0,0,0
FBgn0000055,CG3481,Adh,1631333_s_at//1632699_s_at,chr2L,14615555,14618902,109.517,47.96,270.969,164.163,1355.53,1340.56
FBgn0000056,CG3484,Adhr,#N/A,chr2L,14615555,14618902,116.586,51.0925,288.357,174.468,1442.21,1426.88
FBgn0022709,CG17146,Adk1,1631377_a_at,chr3L,12193496,12197182,23.0747,145.456,28.0986,28.3231,414.057,438.21
FBgn0022708,CG3140,Adk2,1637064_at,chr2R,19911721,19913400,118.339,31.3591,117.876,225.855,170.402,196.383
